,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,EDUCATION,MARITAL_STATUS,GEN_INDUSTRY,GEN_TITLE,ORG_TP_STATE,ORG_TP_FCAPITAL,JOB_DIR,FAMILY_INCOME,PERSONAL_INCOME,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,TP_PROVINCE,REGION_NM,REG_FACT_FL,FACT_POST_FL,REG_POST_FL,REG_FACT_POST_FL,REG_FACT_POST_TP_FL,FL_PRESENCE_FL,OWN_AUTO,AUTO_RUS_FL,HS_PRESENCE_FL,COT_PRESENCE_FL,GAR_PRESENCE_FL,LAND_PRESENCE_FL,CREDIT,TERM,FST_PAYMENT,GPF_DOCUMENT_FL,FACT_LIVING_TERM,WORK_TIME,FACT_PHONE_FL,REG_PHONE_FL,GEN_PHONE_FL,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,LOAN_NUM_PAYM,LOAN_DLQ_NUM,LOAN_MAX_DLQ,LOAN_AVG_DLQ_AMT,LOAN_MAX_DLQ_AMT,PREVIOUS_CARD_NUM_UTILIZED,AGE_CATEGORY,WITHOUT_DELAY,REG_ADDRESS_PROVINCE_FREQ,FACT_ADDRESS_PROVINCE_FREQ,SOLVENCY
0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000.0,6,8650.0,0,220,18.0,0,0,0,1,1,6,2,1,1580.0,1580.0,0.0,0,0,253,250,3.75
1,0,32,0,0,0,1,1,1,0,0,0,1,0,1,0,12000.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,21650.0,6,4000.0,0,137,97.0,1,0,0,1,1,6,1,1,4020.0,4020.0,0.0,1,0,127,127,3.3256351039260967
2,0,52,0,0,0,2,2,2,0,1,1,2,0,1,0,9000.0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,33126.0,12,4000.0,0,251,84.0,0,0,0,2,1,11,0,0,0.0,0.0,0.0,2,1,202,203,3.260278934975548
3,0,39,0,0,0,3,0,3,0,2,2,2,0,1,1,25000.0,3,3,3,3,1,1,0,1,1,0,1,0,0,0,0,0,0,8491.82,6,5000.0,1,36,168.0,1,1,0,1,1,6,3,1,1589.923333,1590.0,0.0,1,0,407,404,17.664057881584867
4,0,30,0,0,1,4,2,1,0,3,1,2,0,1,0,12000.0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,21990.0,12,4000.0,0,83,101.0,1,0,0,2,1,16,2,1,1152.15,2230.0,0.0,3,0,127,127,6.548431105047749
5,0,29,0,0,1,4,2,1,1,0,1,0,0,2,1,12000.0,4,4,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,30615.0,12,3500.0,1,108,40.0,1,0,0,2,1,11,0,0,0.0,0.0,0.0,3,1,215,214,4.703576678098971
6,0,35,0,0,1,3,0,3,2,4,1,2,0,1,1,15000.0,5,5,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,10450.0,3,15000.0,0,48,6.0,0,0,0,2,2,14,0,0,0.0,0.0,0.0,1,1,292,292,4.30622009569378
7,0,41,0,0,0,4,2,1,0,5,0,0,0,1,0,6000.0,6,6,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,15035.0,10,465.0,0,204,6.0,1,1,0,2,1,11,0,0,0.0,0.0,0.0,0,1,331,332,3.9906883937479214
8,0,53,0,0,1,0,2,3,0,6,3,0,0,1,2,100000.0,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,32914.31,4,29080.92,1,228,156.0,1,0,0,1,1,3,0,0,0.0,0.0,0.0,2,1,194,198,12.15276881089107
9,0,43,0,0,0,4,2,0,0,2,1,2,0,1,0,7000.0,8,8,8,8,1,0,0,0,0,0,1,0,0,0,0,0,0,4440.0,6,540.0,1,279,72.0,0,0,0,1,1,6,0,0,0.0,0.0,0.0,0,1,674,674,9.45945945945946
10,0,54,0,0,0,0,2,0,3,2,4,2,0,3,1,19000.0,9,9,9,9,4,0,0,0,0,0,1,0,0,0,0,0,0,5160.0,3,600.0,1,240,120.0,1,0,0,1,1,3,0,0,0.0,0.0,0.0,2,1,155,154,11.046511627906977
11,1,26,0,0,1,4,2,0,3,4,5,2,0,1,0,18000.0,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,11751.0,4,8389.0,0,49,27.0,0,0,0,2,1,13,0,0,0.0,0.0,0.0,3,1,252,254,6.127138115905029
12,1,62,1,1,1,1,2,1,1,7,0,0,0,1,0,7000.0,11,11,11,11,3,0,0,0,0,0,0,1,1,0,0,0,0,11160.0,3,2790.0,0,324,48.0,0,0,0,1,1,3,0,0,0.0,0.0,0.0,4,1,122,119,1.881720430107527
13,0,45,0,0,0,1,0,0,2,3,0,2,0,4,0,12000.0,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,5770.0,9,1020.0,1,72,72.0,1,0,0,1,1,8,1,1,810.0,810.0,0.0,0,0,155,154,18.717504332755635
14,0,38,0,0,0,4,0,3,0,3,6,2,0,1,1,20000.0,12,12,12,12,5,0,0,0,0,0,0,0,0,1,0,0,0,14513.0,5,1462.0,0,89,120.0,1,0,0,2,1,12,0,0,0.0,0.0,0.0,1,1,67,69,6.8903741473162
15,1,41,0,0,0,4,2,3,2,0,7,1,0,1,2,60000.0,10,10,10,10,5,0,0,0,0,0,1,0,0,0,0,0,0,79910.0,5,19990.0,0,5,168.0,1,0,0,1,1,4,0,0,0.0,0.0,0.0,0,1,252,254,3.754223501439119
16,0,64,1,1,0,0,2,0,0,8,8,3,1,5,1,10000.0,13,13,13,13,2,0,0,0,0,0,1,0,0,0,0,0,0,4039.0,3,500.0,0,191,81.93389388228472,1,0,1,1,1,3,0,0,0.0,0.0,0.0,4,1,239,237,7.427581084426839
17,0,29,0,0,0,3,0,0,0,9,0,2,0,1,0,5200.0,14,14,14,14,6,0,0,0,0,0,0,0,0,0,0,0,1,3400.0,6,2000.0,0,24,8.0,0,0,0,1,1,4,0,0,0.0,0.0,0.0,3,1,349,348,9.176470588235295
18,1,34,0,0,1,4,2,1,1,10,0,0,0,1,2,35000.0,15,15,15,15,5,1,0,1,1,0,0,0,0,0,0,0,0,7290.0,6,1300.0,0,84,13.0,1,0,0,1,1,5,1,1,1439.94,1439.94,0.0,1,0,91,91,28.80658436213992
19,0,28,0,0,0,4,2,3,3,7,1,0,0,1,0,15000.0,16,16,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8918.0,6,1000.0,0,60,60.0,1,0,0,1,1,5,0,0,0.0,0.0,0.0,3,1,459,454,10.091948867459072
20,0,37,0,0,0,3,0,3,0,2,1,2,0,1,0,10000.0,17,17,17,17,3,1,0,1,1,0,1,0,0,0,0,0,0,10342.0,6,1200.0,1,36,192.0,0,1,0,1,1,6,0,0,0.0,0.0,0.0,1,1,206,202,5.801585766776252
21,0,42,0,0,0,3,0,0,0,0,1,0,0,1,0,10000.0,4,4,4,4,3,0,0,0,0,0,0,0,0,1,0,0,0,19857.0,6,6000.0,0,113,76.0,1,0,0,1,1,6,0,0,0.0,0.0,0.0,0,1,215,214,3.0216044719746185
22,0,45,0,0,0,1,1,3,2,11,1,2,0,1,0,14000.0,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,13000.0,6,1500.0,1,173,120.0,1,0,0,1,1,5,0,0,0.0,0.0,0.0,0,1,292,292,6.461538461538462
23,0,32,0,0,0,4,2,0,3,6,1,2,0,1,0,10000.0,3,3,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,7300.0,6,3000.0,0,8,108.0,0,0,0,1,1,5,0,0,0.0,0.0,0.0,1,1,407,404,8.21917808219178
24,0,33,0,0,0,3,0,0,0,7,0,1,0,1,0,8000.0,18,18,18,18,1,0,0,0,0,0,0,0,0,1,0,0,0,12646.0,6,1500.0,0,135,24.0,1,0,0,1,1,6,0,0,0.0,0.0,0.0,1,1,137,139,3.795666613949075
25,0,38,0,0,0,3,0,0,3,0,0,1,0,1,0,13000.0,19,19,19,19,6,0,0,0,0,0,1,0,0,0,0,0,0,14619.0,6,1625.0,0,240,18.0,0,0,0,1,1,7,1,1,2742.25,2742.25,0.0,1,0,292,292,5.335522265544839
26,0,27,0,0,0,4,2,3,0,0,2,0,0,1,1,12500.0,20,20,20,20,8,1,1,0,1,0,0,1,1,0,0,0,0,3909.0,3,690.0,0,36,60.0,1,1,0,1,1,3,1,1,1411.31,1411.31,0.0,3,0,156,155,9.593246354566386
27,1,31,0,0,0,3,0,0,0,4,1,2,0,1,1,12000.0,21,21,21,21,5,0,0,0,0,0,0,0,0,0,0,0,0,30198.0,6,5752.0,0,163,15.0,0,0,0,1,1,6,2,1,5760.0,5760.0,0.0,1,0,191,189,2.3842638585336777
28,0,40,0,0,1,3,0,0,0,4,0,0,0,1,1,20000.0,22,22,22,22,8,1,0,1,1,1,0,0,0,0,0,0,0,3390.0,6,400.0,1,24,2.0,1,0,0,1,1,4,0,0,0.0,0.0,0.0,1,1,130,119,35.39823008849557
29,0,63,1,1,0,4,2,0,0,8,8,3,1,5,3,5000.0,23,23,23,23,3,0,0,0,0,0,0,0,0,0,0,0,0,8000.0,3,5300.0,0,132,81.93389388228472,0,0,1,1,1,3,0,0,0.0,0.0,0.0,4,1,184,183,1.875
