iter	Logloss
0	0.6701448441
1	0.6489715499
2	0.6293254964
3	0.6110340952
4	0.5938238865
5	0.5779554728
6	0.562582673
7	0.5488515249
8	0.5356058083
9	0.5236054907
10	0.5125172581
11	0.5017703351
12	0.4916950404
13	0.4828761754
14	0.4745636644
15	0.4664748284
16	0.4592023232
17	0.4525798692
18	0.4463846156
19	0.4404042931
20	0.4346269443
21	0.4297035971
22	0.4249536066
23	0.4206462536
24	0.4163531849
25	0.4122142226
26	0.4085206617
27	0.4051476109
28	0.4020322346
29	0.39916654
30	0.3964378747
31	0.3939221724
32	0.3915921554
33	0.3892402658
34	0.3870272414
35	0.3850900957
36	0.383369679
37	0.3815169542
38	0.3797348512
39	0.3783283792
40	0.3767889556
41	0.3754883493
42	0.3739160416
43	0.3725473371
44	0.3712939918
45	0.3702040942
46	0.3692851736
47	0.3680947625
48	0.367092819
49	0.3661610932
50	0.3652914915
51	0.3643632732
52	0.3634588809
53	0.3625470106
54	0.3617425566
55	0.3609112598
56	0.3602015011
57	0.3596133634
58	0.35892426
59	0.3580934557
60	0.3574079191
61	0.3567095051
62	0.3560940486
63	0.3554445517
64	0.3548044406
65	0.35431706
66	0.3538035449
67	0.3533158579
68	0.352937756
69	0.3523403672
70	0.3517653893
71	0.3513031375
72	0.350833767
73	0.3504380943
74	0.349973424
75	0.3494573313
76	0.3491524748
77	0.34878401
78	0.3484846504
79	0.3481812733
80	0.3478799547
81	0.3475214854
82	0.3469983793
83	0.3465241435
84	0.3462212559
85	0.3458917956
86	0.3456099362
87	0.3453965581
88	0.3451854759
89	0.3448521921
90	0.3446118252
91	0.3443677172
92	0.3441274035
93	0.34387157
94	0.3436166008
95	0.3432954119
96	0.3430041664
97	0.3427628967
98	0.3425199687
99	0.3421756
100	0.3419340563
101	0.3416551566
102	0.3414588802
103	0.3411361513
104	0.3409253113
105	0.3407214255
106	0.3404275628
107	0.3401883338
108	0.3400419058
109	0.339839439
110	0.3396968437
111	0.3394663959
112	0.3393400105
113	0.3391703003
114	0.3389726899
115	0.3387891247
116	0.3385718165
117	0.3384228424
118	0.3382753117
119	0.3380526344
120	0.3379184938
121	0.337716993
122	0.3375034706
123	0.3373454577
124	0.3372405725
125	0.3370491917
126	0.3368803026
127	0.3366428516
128	0.3365104338
129	0.3362693796
130	0.3361031046
131	0.3359022993
132	0.335788899
133	0.3356119344
134	0.3354852712
135	0.33534219
136	0.33525409
137	0.3350591117
138	0.3348589446
139	0.3347417412
140	0.334564237
141	0.3344425405
142	0.334214545
143	0.3341417174
144	0.3339501915
145	0.3337960401
146	0.3336248576
147	0.3334768763
148	0.3331480669
149	0.3330057228
150	0.3327649019
151	0.3326389321
152	0.3325596246
153	0.3323864059
154	0.3322136904
155	0.332014392
156	0.3318544682
157	0.3317657657
158	0.3316307042
159	0.3314671066
160	0.3313230742
161	0.3311526698
162	0.3310187942
163	0.3309287414
164	0.3307940105
165	0.3306245934
166	0.3304476364
167	0.330239751
168	0.3301730253
169	0.3300373453
170	0.329954809
171	0.3298402616
172	0.3297534403
173	0.3296477186
174	0.3294580331
175	0.329225508
176	0.3291133076
177	0.328979348
178	0.3287666706
179	0.3285655485
180	0.328474741
181	0.3283106188
182	0.328140656
183	0.3280110552
184	0.3278719925
185	0.327757018
186	0.3276714108
187	0.3275895858
188	0.3273839071
189	0.3272840926
190	0.3271159311
191	0.3270085911
192	0.3269113659
193	0.3267884534
194	0.32669427
195	0.3265614168
196	0.3264300499
197	0.3263334714
198	0.3261683805
199	0.3260749477
200	0.3259653206
201	0.3258774206
202	0.3257239695
203	0.3255859273
204	0.3254693281
205	0.3253463079
206	0.3252395822
207	0.3251308562
208	0.3249509969
209	0.3248885335
210	0.3247347599
211	0.3246147539
212	0.3245047257
213	0.3242441033
214	0.3241714887
215	0.3240905623
216	0.3239709624
217	0.3238824601
218	0.3237725317
219	0.323641027
220	0.3235577394
221	0.3234091843
222	0.3233338718
223	0.3232530649
224	0.3231283372
225	0.3229662568
226	0.3228295108
227	0.3226767611
228	0.3225755293
229	0.3225152659
230	0.322439357
231	0.3223671241
232	0.3221980545
233	0.3220390861
234	0.3219731954
235	0.3218939242
236	0.3218008724
237	0.3217239615
238	0.3216035302
239	0.3214395397
240	0.3213354048
241	0.3211708421
242	0.3210066306
243	0.3209057304
244	0.3207624131
245	0.3206581699
246	0.3205940782
247	0.3204783933
248	0.3203757922
249	0.3202709158
250	0.3201530062
251	0.3201125189
252	0.32000683
253	0.3199420821
254	0.3198761086
255	0.3197662278
256	0.3196772165
257	0.3195638067
258	0.3194923591
259	0.3194136417
260	0.3193198731
261	0.319222201
262	0.3191348054
263	0.3190119209
264	0.3188624963
265	0.3187738997
266	0.3186068505
267	0.3184787158
268	0.3183886152
269	0.318142112
270	0.3179710539
271	0.3178571472
272	0.3176740383
273	0.3174643122
274	0.3173746687
275	0.3172189026
276	0.3171587107
277	0.3170863505
278	0.3169584835
279	0.316909625
280	0.3168267772
281	0.3166113671
282	0.316493145
283	0.3163387545
284	0.3162389899
285	0.3161352067
286	0.3160388579
287	0.315878282
288	0.3157365296
289	0.3155798266
290	0.3154999337
291	0.3153416555
292	0.3152780097
293	0.3152185896
294	0.315091972
295	0.3149614464
296	0.314862263
297	0.3147527085
298	0.3146071775
299	0.3145117052
300	0.3143474817
301	0.3142086777
302	0.3140788271
303	0.3138813159
304	0.3137412586
305	0.3136570037
306	0.3134949537
307	0.3133609481
308	0.3132400391
309	0.3131413485
310	0.3129283935
311	0.3128283784
312	0.3127144827
313	0.3126191365
314	0.312486322
315	0.3123607801
316	0.3122316369
317	0.3120352391
318	0.3119326504
319	0.3117516965
320	0.3115830561
321	0.3114880849
322	0.3113773191
323	0.3112897232
324	0.3112024124
325	0.3111311132
326	0.3110126416
327	0.3108923448
328	0.3107221709
329	0.3106253346
330	0.310498415
331	0.3104179525
332	0.3103043636
333	0.3101256271
334	0.3098771175
335	0.3096795043
336	0.3095636277
337	0.3094600399
338	0.3093223028
339	0.3092313959
340	0.3091474763
341	0.3090303051
342	0.3089434041
343	0.3088365822
344	0.3087434677
345	0.3085113348
346	0.3084321003
347	0.3082525951
348	0.3081066627
349	0.3079988813
350	0.3079101456
351	0.3077576833
352	0.3076210058
353	0.3074734408
354	0.3073387139
355	0.3072300049
356	0.3071319872
357	0.307023944
358	0.3069086711
359	0.3068006954
360	0.3066859933
361	0.3065575807
362	0.3064672025
363	0.3063431458
364	0.3062325069
365	0.3061439417
366	0.3059825874
367	0.3058590234
368	0.3056849337
369	0.30559262
370	0.3054396452
371	0.305290764
372	0.3050753278
373	0.304908027
374	0.3048207549
375	0.3046290389
376	0.3045507669
377	0.3044266501
378	0.3043276001
379	0.3041151564
380	0.303993089
381	0.3038186351
382	0.3037192279
383	0.3036026805
384	0.3034564052
385	0.3033112948
386	0.3030976946
387	0.3029806082
388	0.3028011472
389	0.3026879515
390	0.3025253896
391	0.3023644455
392	0.3022217023
393	0.3020958252
394	0.3020063693
395	0.3019310965
396	0.3016892852
397	0.301541311
398	0.3014067816
399	0.3012511594
400	0.3011750608
401	0.3010648365
402	0.3009890873
403	0.3007988614
404	0.3006077985
405	0.3004729091
406	0.3003205672
407	0.300205557
408	0.3000818958
409	0.2999778817
410	0.2998300687
411	0.2996859333
412	0.2995513221
413	0.2994349195
414	0.2992893574
415	0.2991327678
416	0.2989999123
417	0.2988415386
418	0.2987095533
419	0.2985727623
420	0.2984598633
421	0.2983509843
422	0.2982188147
423	0.2981429706
424	0.2980398688
425	0.2979379142
426	0.2978614034
427	0.2977342895
428	0.2975982165
429	0.2975156123
430	0.2973903443
431	0.2971849828
432	0.2970976521
433	0.2970205985
434	0.29693768
435	0.2968380573
436	0.2966545238
437	0.2966003625
438	0.2964675148
439	0.2962432191
440	0.2961698803
441	0.296056571
442	0.2959500493
443	0.295837855
444	0.2956844576
445	0.2955407485
446	0.295349582
447	0.2952703377
448	0.2952077945
449	0.2950640475
450	0.294956999
451	0.2947887693
452	0.2946641599
453	0.29453647
454	0.2944784777
455	0.2943431069
456	0.2942630038
457	0.2941403424
458	0.2940349344
459	0.2939506189
460	0.2938404888
461	0.2937488639
462	0.2935642194
463	0.2934562261
464	0.2933452312
465	0.2931777052
466	0.2930822745
467	0.292937224
468	0.2928025961
469	0.2926690146
470	0.292569802
471	0.2924379734
472	0.2923640972
473	0.2922799027
474	0.2921629885
475	0.2920479412
476	0.291937508
477	0.2918354293
478	0.2916909766
479	0.2915589198
480	0.2914602609
481	0.2912930033
482	0.2911364584
483	0.2909406995
484	0.2908079458
485	0.2906374169
486	0.2904773341
487	0.2903621504
488	0.2903051634
489	0.2901717497
490	0.2900762362
491	0.2899745743
492	0.2898747013
493	0.2897833623
494	0.2897289332
495	0.28964709
496	0.2895365334
497	0.2894237424
498	0.2893434868
499	0.2892386498
